Id,Ticket,Fare,Pclass_id
1,A/5 21171,7.25,3
2,PC 17599,71.2833,1
3,STON/O2. 3101282,7.925,3
4,113803,53.1,1
5,373450,8.05,3
6,330877,8.4583,3
7,17463,51.8625,1
8,349909,21.075,3
9,347742,11.1333,3
10,237736,30.0708,2
11,PP 9549,16.7,3
12,113783,26.55,1
13,A/5. 2151,8.05,3
14,347082,31.275,3
15,350406,7.8542,3
16,248706,16.0,2
17,382652,29.125,3
18,244373,13.0,2
19,345763,18.0,3
20,2649,7.225,3
21,239865,26.0,2
22,248698,13.0,2
23,330923,8.0292,3
24,113788,35.5,1
25,347077,31.3875,3
26,2631,7.225,3
27,19950,263.0,1
28,330959,7.8792,3
29,349216,7.8958,3
30,PC 17601,27.7208,1
31,PC 17569,146.5208,1
32,335677,7.75,3
33,C.A. 24579,10.5,2
34,PC 17604,82.1708,1
35,113789,52.0,1
36,2677,7.2292,3
37,A./5. 2152,8.05,3
38,345764,18.0,3
39,2651,11.2417,3
40,7546,9.475,3
41,11668,21.0,2
42,349253,7.8958,3
43,SC/Paris 2123,41.5792,2
44,330958,7.8792,3
45,S.C./A.4. 23567,8.05,3
46,370371,15.5,3
47,14311,7.75,3
48,2662,21.6792,3
49,349237,17.8,3
50,3101295,39.6875,3
51,A/4. 39886,7.8,3
52,PC 17572,76.7292,1
53,2926,26.0,2
54,113509,61.9792,1
55,19947,35.5,1
56,C.A. 31026,10.5,2
57,2697,7.2292,3
58,C.A. 34651,27.75,2
59,CA 2144,46.9,3
60,2669,7.2292,3
61,113572,80.0,1
62,36973,83.475,1
63,347088,27.9,3
64,PC 17605,27.7208,1
65,2661,15.2458,3
66,C.A. 29395,10.5,2
67,S.P. 3464,8.1583,3
68,3101281,7.925,3
69,315151,8.6625,3
70,C.A. 33111,10.5,2
71,S.O.C. 14879,73.5,2
72,2680,14.4542,3
73,1601,56.4958,3
74,348123,7.65,3
75,349208,7.8958,3
76,374746,8.05,3
77,248738,29.0,2
78,364516,12.475,3
79,345767,9.0,3
80,345779,9.5,3
81,330932,7.7875,3
82,113059,47.1,1
83,SO/C 14885,10.5,2
84,3101278,15.85,3
85,W./C. 6608,34.375,3
86,SOTON/OQ 392086,8.05,3
87,343275,8.05,3
88,343276,8.05,3
89,347466,7.8542,3
90,W.E.P. 5734,61.175,1
91,C.A. 2315,20.575,3
92,364500,7.25,3
93,374910,8.05,3
94,PC 17754,34.6542,1
95,PC 17759,63.3583,1
96,231919,23.0,2
97,244367,26.0,2
98,349245,7.8958,3
99,349215,7.8958,3
100,35281,77.2875,1
101,7540,8.6542,3
102,3101276,7.925,3
103,349207,7.8958,3
104,343120,7.65,3
105,312991,7.775,3
106,349249,7.8958,3
107,371110,24.15,3
108,110465,52.0,1
109,2665,14.4542,3
110,324669,8.05,3
111,4136,9.825,3
112,2627,14.4583,3
113,STON/O 2. 3101294,7.925,3
114,370369,7.75,3
115,PC 17558,247.5208,1
116,A4. 54510,8.05,3
117,27267,13.0,2
118,370372,7.75,3
119,C 17369,7.1417,3
120,2668,22.3583,3
121,347061,6.975,3
122,349241,7.8958,3
123,SOTON/O.Q. 3101307,7.05,3
124,A/5. 3337,14.5,3
125,228414,26.0,2
126,C.A. 29178,13.0,2
127,SC/PARIS 2133,15.0458,2
128,11752,26.2833,1
129,7534,9.2167,3
130,PC 17593,79.2,1
131,2678,15.2458,3
132,347081,7.75,3
133,STON/O2. 3101279,15.85,3
134,365222,6.75,3
135,231945,11.5,2
136,C.A. 33112,36.75,2
137,350043,7.7958,3
138,230080,26.0,2
139,244310,13.0,2
140,S.O.P. 1166,12.525,2
141,113776,66.6,1
142,A.5. 11206,8.05,3
143,A/5. 851,14.5,3
144,Fa 265302,7.3125,3
145,PC 17597,61.3792,1
146,35851,7.7333,3
147,SOTON/OQ 392090,8.05,3
148,315037,8.6625,3
149,CA. 2343,69.55,3
150,371362,16.1,3
151,C.A. 33595,15.75,2
152,347068,7.775,3
153,315093,8.6625,3
154,363291,20.525,3
155,113505,55.0,1
156,PC 17318,25.925,1
157,111240,33.5,1
158,STON/O 2. 3101280,7.925,3
159,17764,30.6958,1
160,350404,7.8542,3
161,4133,25.4667,3
162,PC 17595,28.7125,1
163,250653,13.0,2
164,LINE,0.0,3
165,SC/PARIS 2131,15.05,2
166,230136,39.0,2
167,315153,22.025,3
168,113767,50.0,1
169,370365,15.5,3
170,111428,26.55,1
171,364849,15.5,3
172,349247,7.8958,3
173,234604,13.0,2
174,28424,13.0,2
175,350046,7.8542,3
176,PC 17610,27.7208,1
177,368703,7.75,3
178,4579,8.4042,3
179,370370,7.75,3
180,248747,13.0,2
181,345770,9.5,3
182,3101264,6.4958,3
183,2628,7.225,3
184,A/5 3540,8.05,3
185,347054,10.4625,3
186,2699,18.7875,3
187,367231,7.75,3
188,112277,31.0,1
189,SOTON/O.Q. 3101311,7.05,3
190,F.C.C. 13528,21.0,2
191,A/5 21174,7.25,3
192,250646,13.0,2
193,367229,7.75,3
194,35273,113.275,1
195,STON/O2. 3101283,7.925,3
196,243847,27.0,2
197,11813,76.2917,1
198,W/C 14208,10.5,2
199,SOTON/OQ 392089,8.05,3
200,220367,13.0,2
201,21440,8.05,3
202,349234,7.8958,3
203,19943,90.0,1
204,PP 4348,9.35,3
205,SW/PP 751,10.5,2
206,A/5 21173,7.25,3
207,236171,13.0,2
208,347067,7.775,3
209,237442,13.5,2
210,C.A. 29566,10.5,2
211,W./C. 6609,7.55,3
212,26707,26.0,2
213,C.A. 31921,26.25,2
214,28665,10.5,2
215,SCO/W 1585,12.275,2
216,367230,15.5,3
217,W./C. 14263,10.5,2
218,STON/O 2. 3101275,7.125,3
219,2694,7.225,3
220,19928,90.0,1
221,347071,7.775,3
222,250649,14.5,2
223,11751,52.5542,1
224,244252,26.0,2
225,362316,7.25,3
226,113514,26.55,1
227,A/5. 3336,16.1,3
228,370129,20.2125,3
229,2650,15.2458,3
230,PC 17585,79.2,1
231,110152,86.5,1
232,PC 17755,512.3292,1
233,230433,26.0,2
234,384461,7.75,3
235,110413,79.65,1
236,112059,0.0,1
237,382649,7.75,3
238,C.A. 17248,10.5,2
239,347083,7.775,3
240,PC 17582,153.4625,1
241,PC 17760,135.6333,1
242,113798,31.0,1
243,250644,19.5,2
244,PC 17596,29.7,1
245,370375,7.75,3
246,13502,77.9583,1
247,347073,7.75,3
248,239853,0.0,2
249,C.A. 2673,20.25,3
250,336439,7.75,3
251,347464,7.8542,3
252,345778,9.5,3
253,A/5. 10482,8.05,3
254,113056,26.0,1
255,349239,8.6625,3
256,345774,9.5,3
257,349206,7.8958,3
258,237798,13.0,2
259,370373,7.75,3
260,19877,78.85,1
261,11967,91.0792,1
262,SC/Paris 2163,12.875,2
263,349236,8.85,3
264,349233,7.8958,3
265,PC 17612,27.7208,1
266,2693,7.2292,3
267,113781,151.55,1
268,19988,30.5,1
269,9234,7.75,3
270,367226,23.25,3
271,226593,12.35,2
272,A/5 2466,8.05,3
273,17421,110.8833,1
274,PC 17758,108.9,1
275,P/PP 3381,24.0,2
276,PC 17485,56.9292,1
277,11767,83.1583,1
278,PC 17608,262.375,1
279,250651,26.0,2
280,349243,7.8958,3
281,F.C.C. 13529,26.25,2
282,347470,7.8542,3
283,29011,14.0,2
284,36928,164.8667,1
285,16966,134.5,1
286,A/5 21172,7.25,3
287,349219,7.8958,3
288,234818,12.35,2
289,345364,6.2375,3
290,28551,13.0,2
291,111361,57.9792,1
292,113043,28.5,1
293,PC 17611,133.65,1
294,349225,7.8958,3
295,7598,8.05,3
296,113784,35.5,1
297,248740,13.0,2
298,244361,13.0,2
299,229236,13.0,2
300,248733,13.0,2
301,31418,13.0,2
302,386525,16.1,3
303,C.A. 37671,15.9,3
304,315088,8.6625,3
305,7267,9.225,3
306,113510,35.0,1
307,2695,7.2292,3
308,2647,7.225,3
309,345783,9.5,3
310,237671,13.0,2
311,330931,7.8792,3
312,330980,7.8792,3
313,SC/PARIS 2167,27.7208,2
314,2691,14.4542,3
315,SOTON/O.Q. 3101310,7.05,3
316,C 7076,7.25,3
317,110813,75.25,1
318,2626,7.2292,3
319,14313,7.75,3
320,PC 17477,69.3,1
321,11765,55.4417,1
322,3101267,6.4958,3
323,323951,8.05,3
324,C 7077,7.25,3
325,113503,211.5,1
326,2648,4.0125,3
327,347069,7.775,3
328,PC 17757,227.525,1
329,2653,15.7417,3
330,STON/O 2. 3101293,7.925,3
331,349227,7.8958,3
332,27849,13.0,2
333,367655,7.7292,3
334,SC 1748,12.0,2
335,113760,120.0,1
336,350034,7.7958,3
337,3101277,7.925,3
338,350052,7.7958,3
339,350407,7.8542,3
340,28403,26.0,2
341,244278,10.5,2
342,240929,12.65,2
343,STON/O 2. 3101289,7.925,3
344,341826,8.05,3
345,4137,9.825,3
346,315096,8.6625,3
347,28664,21.0,2
348,347064,7.75,3
349,29106,18.75,2
350,312992,7.775,3
351,349222,7.8958,3
352,394140,6.8583,3
353,STON/O 2. 3101269,7.925,3
354,343095,8.05,3
355,28220,32.5,2
356,250652,13.0,2
357,28228,13.0,2
358,345773,24.15,3
359,349254,7.8958,3
360,A/5. 13032,7.7333,3
361,315082,7.875,3
362,347080,14.4,3
363,A/4. 34244,7.25,3
364,2003,26.0,2
365,250655,26.0,2
366,364851,7.75,3
367,SOTON/O.Q. 392078,8.05,3
368,110564,26.55,1
369,376564,16.1,3
370,SC/AH 3085,26.0,2
371,STON/O 2. 3101274,7.125,3
372,13507,55.9,1
373,C.A. 18723,10.5,2
374,345769,9.5,3
375,347076,7.775,3
376,230434,13.0,2
377,65306,8.1125,3
378,33638,81.8583,1
379,113794,26.55,1
380,2666,19.2583,3
381,113786,30.5,1
382,65303,19.9667,3
383,113051,27.75,1
384,17453,89.1042,1
385,A/5 2817,8.05,3
386,349240,7.8958,3
387,13509,26.55,1
388,17464,51.8625,1
389,F.C.C. 13531,10.5,2
390,371060,7.75,3
391,19952,26.55,1
392,364506,8.05,3
393,111320,38.5,1
394,234360,13.0,2
395,A/S 2816,8.05,3
396,SOTON/O.Q. 3101306,7.05,3
397,113792,26.55,1
398,36209,7.725,3
399,323592,7.25,3
400,315089,8.6625,3
401,SC/AH Basle 541,13.7917,2
402,7553,9.8375,3
403,31027,21.0,2
404,3460,7.0458,3
405,350060,7.5208,3
406,3101298,12.2875,3
407,239854,0.0,2
408,A/5 3594,8.05,3
409,4134,9.5875,3
410,11771,29.7,1
411,A.5. 18509,8.05,3
412,65304,19.9667,3
413,SOTON/OQ 3101317,7.25,3
414,113787,30.5,1
415,PC 17609,49.5042,1
416,A/4 45380,8.05,3
417,36947,78.2667,1
418,C.A. 6212,15.1,3
419,350035,7.7958,3
420,315086,8.6625,3
421,364846,7.75,3
422,330909,7.6292,3
423,4135,9.5875,3
424,26360,26.0,2
425,111427,26.55,1
426,C 4001,22.525,3
427,382651,7.75,3
428,SOTON/OQ 3101316,8.05,3
429,PC 17473,26.2875,1
430,PC 17603,59.4,1
431,349209,7.4958,3
432,36967,34.0208,1
433,C.A. 34260,10.5,2
434,226875,26.0,2
435,349242,7.8958,3
436,12749,93.5,1
437,349252,7.8958,3
438,2624,7.225,3
439,2700,7.2292,3
440,367232,7.75,3
441,W./C. 14258,10.5,2
442,PC 17483,221.7792,1
443,3101296,7.925,3
444,29104,11.5,2
445,2641,7.2292,3
446,2690,7.2292,3
447,315084,8.6625,3
448,113050,26.55,1
449,PC 17761,106.425,1
450,364498,14.5,3
451,13568,49.5,1
452,WE/P 5735,71.0,1
453,2908,26.0,2
454,693,26.0,1
455,SC/PARIS 2146,13.8625,2
456,244358,26.0,2
457,330979,7.8292,3
458,2620,7.225,3
459,347085,7.775,3
460,113807,26.55,1
461,11755,39.6,1
462,345572,17.4,3
463,372622,7.75,3
464,349251,7.8958,3
465,218629,13.5,2
466,SOTON/OQ 392082,8.05,3
467,SOTON/O.Q. 392087,8.05,3
468,A/4 48871,24.15,3
469,349205,7.8958,3
470,2686,7.2292,3
471,350417,7.8542,3
472,S.W./PP 752,10.5,2
473,11769,51.4792,1
474,PC 17474,26.3875,1
475,14312,7.75,3
476,A/4. 20589,8.05,3
477,358585,14.5,3
478,243880,13.0,2
479,2689,14.4583,3
480,STON/O 2. 3101286,7.925,3
481,237789,30.0,2
482,13049,40.125,1
483,3411,8.7125,3
484,237565,15.0,2
485,13567,79.2,1
486,14973,8.05,3
487,A./5. 3235,8.05,3
488,STON/O 2. 3101273,7.125,3
489,A/5 3902,7.25,3
490,364848,7.75,3
491,SC/AH 29037,26.0,2
492,248727,33.0,2
493,2664,7.225,3
494,349214,7.8958,3
495,113796,42.4,1
496,364511,8.05,3
497,111426,26.55,1
498,349910,15.55,3
499,349246,7.8958,3
500,113804,30.5,1
501,SOTON/O.Q. 3101305,7.05,3
502,370377,7.75,3
503,364512,8.05,3
504,220845,65.0,2
505,31028,10.5,2
506,2659,14.4542,3
507,11753,52.5542,1
508,350029,7.8542,3
509,54636,16.1,3
510,36963,32.3208,1
511,219533,12.35,2
512,349224,7.8958,3
513,334912,7.7333,3
514,27042,30.0,1
515,347743,7.0542,3
516,13214,30.5,1
517,112052,0.0,1
518,237668,13.0,2
519,STON/O 2. 3101292,7.925,3
520,350050,7.8542,3
521,349231,7.8958,3
522,13213,35.5,1
523,S.O./P.P. 751,7.55,3
524,CA. 2314,7.55,3
525,349221,7.8958,3
526,8475,8.4333,3
527,330919,7.8292,3
528,365226,6.75,3
529,349223,7.8958,3
530,29751,13.0,2
531,2623,7.225,3
532,5727,25.5875,1
533,349210,7.4958,3
534,STON/O 2. 3101285,7.925,3
535,234686,13.0,2
536,312993,7.775,3
537,A/5 3536,8.05,3
538,19996,52.0,1
539,29750,39.0,2
540,F.C. 12750,52.0,1
541,C.A. 24580,10.5,2
542,244270,13.0,2
543,239856,0.0,2
544,349912,7.775,3
545,342826,8.05,3
546,4138,9.8417,3
547,330935,8.1375,3
548,6563,9.225,3
549,349228,10.1708,3
550,350036,7.7958,3
551,24160,211.3375,1
552,17474,57.0,1
553,349256,13.4167,3
554,2672,7.225,3
555,113800,26.55,1
556,248731,13.5,2
557,363592,8.05,3
558,35852,7.7333,3
559,348121,7.65,3
560,PC 17475,26.2875,1
561,36864,7.7417,3
562,350025,7.8542,3
563,223596,13.5,2
564,PC 17476,26.2875,1
565,PC 17482,49.5042,1
566,113028,26.55,1
567,7545,9.4833,3
568,250647,13.0,2
569,348124,7.65,3
570,34218,10.5,2
571,36568,15.5,3
572,347062,7.775,3
573,350048,7.0542,3
574,12233,13.0,2
575,250643,13.0,2
576,113806,53.1,1
577,315094,8.6625,3
578,36866,7.7375,3
579,236853,26.0,2
580,STON/O2. 3101271,7.925,3
581,239855,0.0,2
582,28425,13.0,2
583,233639,13.0,2
584,349201,7.8958,3
585,349218,7.8958,3
586,16988,30.0,1
587,376566,16.1,3
588,STON/O 2. 3101288,7.925,3
589,250648,13.0,2
590,113773,53.1,1
591,335097,7.75,3
592,29103,23.0,2
593,392096,12.475,3
594,345780,9.5,3
595,349204,7.8958,3
596,350042,7.7958,3
597,29108,11.5,2
598,363294,8.05,3
599,SOTON/O2 3101272,7.125,3
600,2663,7.2292,3
601,347074,7.775,3
602,112379,39.6,1
603,364850,7.75,3
604,8471,8.3625,3
605,345781,9.5,3
606,350047,7.8542,3
607,S.O./P.P. 3,10.5,2
608,2674,7.225,3
609,29105,23.0,2
610,347078,7.75,3
611,383121,7.75,3
612,36865,7.7375,3
613,2687,7.2292,3
614,113501,30.0,1
615,W./C. 6607,23.45,3
616,SOTON/O.Q. 3101312,7.05,3
617,374887,7.25,3
618,3101265,7.4958,3
619,12460,7.75,3
620,PC 17600,30.6958,1
621,349203,7.8958,3
622,28213,13.0,2
623,17465,25.9292,1
624,349244,8.6833,3
625,2685,7.2292,3
626,2625,8.5167,3
627,347089,6.975,3
628,347063,7.775,3
629,112050,0.0,1
630,347087,7.775,3
631,248723,13.0,2
632,3474,7.8875,3
633,28206,10.5,2
634,364499,8.05,3
635,112058,0.0,1
636,STON/O2. 3101290,7.925,3
637,S.C./PARIS 2079,37.0042,2
638,C 7075,6.45,3
639,315098,8.6625,3
640,19972,0.0,1
641,368323,6.95,3
642,367228,7.75,3
643,2671,7.2292,3
644,347468,7.8542,3
645,2223,8.3,3
646,PC 17756,83.1583,1
647,315097,8.6625,3
648,392092,8.05,3
649,11774,29.7,1
650,SOTON/O2 3101287,7.925,3
651,2683,6.4375,3
652,315090,8.6625,3
653,C.A. 5547,7.55,3
654,349213,7.8958,3
655,347060,7.775,3
656,PC 17592,39.4,1
657,392091,9.35,3
658,113055,26.55,1
659,2629,7.2292,3
660,350026,14.1083,3
661,28134,11.5,2
662,17466,25.9292,1
663,233866,13.0,2
664,236852,13.0,2
665,SC/PARIS 2149,13.8583,2
666,PC 17590,50.4958,1
667,345777,9.5,3
668,349248,7.8958,3
669,695,5.0,1
670,345765,9.0,3
671,2667,7.225,3
672,7534,9.8458,3
673,349212,7.8958,3
674,349217,7.8958,3
675,349257,7.8958,3
676,7552,10.5167,3
677,C.A./SOTON 34068,10.5,2
678,SOTON/OQ 392076,7.05,3
679,211536,13.0,2
680,112053,30.0,1
681,111369,30.0,1
682,370376,7.75,3
